"key","message","comment","context"
"Amount Detail",,,
"Cancelled",,,
"Cgst",,,
"Country",,,
"Draft",,,
"GST RATE",,,
"Gst",,,
"Gst rate",,,
"Hsbn",,,
"Igst",,,
"Invoice",,,
"Invoice.cgst","CSGT",,
"Invoice.gstRate","GST Rate",,
"Invoice.igst","IGST",,
"Invoice.netCsgst","Net CSGT",,
"Invoice.netIgst","Net IGST",,
"Invoice.netSgst","Net SGST",,
"Invoice.sgst","SGST",,
"Invoiceline",,,
"Name",,,
""NetCSGST","Net CSGT",,
"NetIGST","Net IGST",,
"NetSGST","Net SGST",,
"Others",,,
"Overview",,,
"Paid",,,
"Primary",,,
"Product categories",,,
"Product category",,,
"Secondary",,,
"Sgst",,,
"Shipping Addres",,,
"State",,,
"Tax Amount",,,
"Use Invoice Address As Shipping",,,
"Validated",,,
"address List",,,
"address list",,,
"city List",,,
"current",,,
"default",,,
"invoice",,,
"other",,,
"partner address list",,,
"product List",,,
"product list",,,
"saving",,,
"shipping",,,
"state List",,,
"value:Gst",,,
